epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,22140.3,0.61151,2.58846,0.22965,0.3728,1.06504,0.97551,0.97963,0.99152,0.91076,0.86839,0.84843,0.8662,0.7352,0.51777,1.76103,0.0428,0.25204,0.95508,0.003268,0.003268,0.003268
70,22457.5,0.60474,2.53824,0.22829,0.37054,1.06128,0.97539,0.97979,0.99152,0.91096,0.86848,0.84874,0.86649,0.73545,0.51722,1.75828,0.04271,0.25172,0.95472,0.003169,0.003169,0.003169
71,22774.8,0.60424,2.55437,0.22472,0.37298,1.06076,0.97605,0.97951,0.99156,0.91091,0.86971,0.84893,0.86729,0.73672,0.51659,1.7544,0.04256,0.25113,0.95418,0.00307,0.00307,0.00307
72,23091.9,0.60662,2.57551,0.22647,0.37034,1.06232,0.97626,0.97975,0.99159,0.91102,0.86995,0.84903,0.86756,0.73742,0.516,1.75137,0.04238,0.2509,0.95372,0.002971,0.002971,0.002971
73,23408.4,0.59871,2.51889,0.22545,0.36813,1.06014,0.97627,0.97951,0.9916,0.91114,0.87015,0.84926,0.86787,0.73813,0.51518,1.74771,0.04226,0.25074,0.95321,0.002872,0.002872,0.002872
74,23725.8,0.59949,2.51217,0.22545,0.3665,1.05901,0.97655,0.97964,0.99163,0.91118,0.87023,0.84944,0.86789,0.73859,0.51478,1.74422,0.04203,0.25043,0.95304,0.002773,0.002773,0.002773
75,24042.9,0.59599,2.48398,0.22374,0.36181,1.05735,0.97614,0.98,0.99162,0.91146,0.87164,0.84951,0.86865,0.7391,0.5141,1.74012,0.04192,0.24989,0.95262,0.002674,0.002674,0.002674
76,24360.6,0.59333,2.46977,0.22183,0.36132,1.05476,0.97652,0.98013,0.99165,0.91167,0.87321,0.84798,0.86868,0.73954,0.51359,1.7365,0.0418,0.24944,0.9523,0.002575,0.002575,0.002575
77,24677.5,0.59583,2.46688,0.22136,0.36072,1.0567,0.97632,0.98053,0.99167,0.91228,0.8726,0.85005,0.86927,0.74008,0.51293,1.73274,0.04162,0.24916,0.95178,0.002476,0.002476,0.002476
78,24995.3,0.59412,2.43176,0.21977,0.35856,1.05405,0.97628,0.98042,0.99166,0.91199,0.87381,0.84964,0.86946,0.74089,0.51234,1.72842,0.04149,0.24879,0.9513,0.002377,0.002377,0.002377
79,25311.5,0.58654,2.39171,0.22063,0.35455,1.05047,0.97619,0.98053,0.99167,0.91206,0.87408,0.84903,0.86965,0.74118,0.51152,1.72475,0.04138,0.24852,0.95064,0.002278,0.002278,0.002278
80,25629,0.58445,2.41866,0.22028,0.35673,1.05003,0.97603,0.98049,0.99169,0.91272,0.87439,0.85053,0.87002,0.74171,0.51086,1.72093,0.0412,0.24818,0.95025,0.002179,0.002179,0.002179
81,25946.1,0.58225,2.40394,0.21895,0.35242,1.05162,0.97611,0.98079,0.99171,0.91293,0.87538,0.84951,0.87045,0.74293,0.51036,1.71726,0.04099,0.24769,0.94989,0.00208,0.00208,0.00208
82,26262.8,0.58557,2.39197,0.21842,0.35324,1.04785,0.976,0.98079,0.99179,0.91305,0.87638,0.85105,0.87121,0.74355,0.50959,1.7134,0.04081,0.24746,0.94933,0.001981,0.001981,0.001981
